Filename,Class,Width,Height,Format
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0Q71GTG10I4M.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0V7V9L8RY5FV.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0W0QENVBGGB7.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0W31B1SC7OHT.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0WHCW33PXAQ4.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0YZ7IRVDWHRO.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0ZZEQST1MWC6.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\10121RF2P14U.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\103OB8NU5KRG.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\11V88FZJ11RT.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\124YHXRUUE3G.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\13FS1OW235SX.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\13S7P069IOLF.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\13WVA4PMDF0X.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\140ARU2Z2A08.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\144B4OIOHH71.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\14773PPQV4Y9.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\15LFBGGBMJID.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\15MMVWG576N4.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\15NTVV8VIFGU.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\161076E48ODR.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1670UF6P9T6R.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1691DSNDTU1Y.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\16S4FIKPM9C2.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1AK79MA3Y1GM.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1CLAAUOQQF1V.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1D71Z2DJS5ML.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1EZR6QK4YJNZ.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1FJP37884F7G.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1FLWE9XOY0E9.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1FSZHDY27LCS.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1HQUCTA6WIF2.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1IEXL54I4GHH.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1LWI9GNEOL7N.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1QNEQIM5XUJH.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1RIQTMMN4GUW.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1RPN81SWOSUB.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1T7HW71NWAPP.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1UO2LT54GKQN.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1UUITM4TAZLP.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1VNYMYDF6NQN.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1VQG7QNDVNAF.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1WJNXYAIYN65.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1WWHKFJJ7F4T.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\1XEG2QL3Y31O.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\21OE21BYBOAB.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\22ORBO3LRENX.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\25692WXC03OC.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\26RNLYDBSFPI.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\284X55BD7MNX.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2AEA99ATM06E.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2B7AY4XLDQ5D.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2BFCJY7JXB03.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2CG0J5CQOJH0.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2HL7XYB05HBL.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2KR96230P2GN.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2N0SD765AGFL.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2POPHY5FWGBW.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2PP2IOZWZ2UC.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2S9QV5BM17QJ.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2U2JSAFCIBE3.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2U5MI184SKV4.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2UHCWE4PYPKP.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2UP68WPBS5W7.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2V0JHLM6SZ44.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2WXZZ4GHBM6J.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2XWO9HPFNNF6.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\2YX33I0HS97T.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\300MA4JLYTD5.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3147JVD2JTJO.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\326UEF1QI3JY.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\345HOWQDSG47.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\34YLUPKOXH8S.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\36IJEEMU8V3N.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\36VSTDMZZRHG.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\372CW9EBL5RC.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\37YBZBHXA3E1.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\38D54WQDWN8N.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3CMYHQ032NRN.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3E2DP3MHHTG2.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3F2X5A5UIKQS.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3FMZXXG9XQYN.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3FWIRGHKB4JW.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3HT0PBGGOSMR.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3IR9BEIIXL8O.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3LBCCA3SDFUF.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3OQ5TWUT3WLG.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3QN3JSK8TZVS.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3RPWX6ZOHCIA.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3SS1DVGWCQWT.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3VX8IASP643F.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3W49L4SBOHC4.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\3YUE4NH49SYS.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\441REF9NJPJV.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\44FWLECGP7KT.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\453VAT8HLBSO.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4734MFBAB8GW.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\473DAO330ANL.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\48FI5QUDKROF.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\48N8IPGGORD5.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4BFV1GVUNNZA.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4DUERBP259DK.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4EUMNLRF83YJ.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4FWJFOUR0VLS.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4FZDTU4FGHNG.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4G3YFIHFAPBG.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4HXL8F3BJRXD.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4HZXP0GIJEKV.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4K5YGKG0NXTN.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4NJHZ10UB5KL.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4OX83G0XTYFF.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4PJM2SZWDJIN.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4PJO5E3XSO5A.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4PTH9US3W8DL.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4PVDQRUB2UIG.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4PXWAU70ARAX.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4Q5LPDOADTML.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4QNRMG3CP14C.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4QUGUIHW4MHY.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4RA3JGC8IUC9.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4RKE577PHUY0.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4S26PTTIS8P9.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4SAM008RC9VA.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4ST2O8L3NL38.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4TKCZZU3X1GR.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4U789M6T9NYL.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4UIGVIM6GTXP.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4UJCCI1LJ5LD.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4UZG6KFIYHAG.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4XC1K17U305Q.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\4ZQR4DXDJU1T.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\56KRCVAU80I2.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5743Y39JRJWW.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5746LO375S19.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\585Y7T63IY1Q.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\59EZJKKP2EYO.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\59NDHCV6WWMI.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5BPA7ALEWQIK.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5DBY2TC3F3PA.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5FCHUM4S9CA0.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5FILTI69U1OD.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5FJ7M4T1QKG8.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5GMYV4HWAAUV.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5H4JE2TREJ01.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5IB5IZUV50G5.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5IPLQ4VTH8GT.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5IWVTU9KTZAX.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5KZ4AGJF80IY.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5L54APGM15VX.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5L72Q67T329J.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5N06N4NOOVCF.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5PLBRQ3HSOWA.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5Q1HZZZ3LBYJ.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5QFPUY6CFWXL.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5S76SV2D9Y1O.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5S7A9LXE5O1E.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5TDYWXGJDIWI.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5U3P5V7GG314.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5USTNQVQFC5I.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5UUNLUQXKDZV.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5V94MBC2Z2T5.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5VCIO49VNQSY.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5XJYSZ2XV7NS.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\5XSL6YM57DV9.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\604OTZLTKMQY.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\61116FF874SM.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6460YOYZKH14.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\68BY744GMIEN.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\68KNUEIJF0HM.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\69FHRBSL9849.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6BE7PWYTZ820.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6C8L9MO6FP6K.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6ENY94R3BJ60.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6FFV3JINDJQI.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6FPHTPT5X2GQ.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6I8PYV3FSZP1.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6IAQCHSKM98B.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6KB9MPAD1THR.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6LJVYHTGGYIU.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6LXTDO7N6OP4.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6M7ABMQQ7NOH.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6QCL7NIMLILD.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6QXL2IUWD6R4.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6RPJIQMTEM4S.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6RQ44Z5AN17O.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6TV288DRU8E6.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6UWP8CGMRRO9.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6VPC0WLO4SLH.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6X367XB9Z5QN.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6YNQ1QT6I4G5.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6YV0QIRF20HV.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\6ZKPJMHE6JLK.jpg,animal fish,256,256,JPEG
